ID    , Name            , Latitude , Longitude , Elevation , RadarType
Z9010 , BeiJing         , 39.8089  , 116.4719  , 92.4      , SA
Z9020 , HuoLinGuoLe     , 45.5314  , 119.6639  , 850       , CB
Z9021 , ManZhouLi       , 49.5878  , 117.4800  , 650       , CB
Z9084 , JiuSanNongChang , 48.8678  , 125.2919  , 650       , CC
Z9085 , JianSanJiang    , 47.2328  , 132.6250  , 165       , CC
Z9200 , GuangZhou       , 23.0039  , 113.3550  , 180.3     , SA
Z9210 , ShangHai        , 31.0008  , 121.8850  , 44.2      , WSR88D
Z9220 , TianJin         , 39.0439  , 117.7169  , 70.3      , SA
Z9230 , ChongQing       , 29.5219  , 106.4889  , 438.8     , SA
Z9240 , ShenYang        , 41.9247  , 123.6469  , 299.0     , SC
Z9250 , NanJing         , 32.1908  , 118.6978  , 138.8     , SA
Z9270 , WuHan           , 30.5169  , 114.3778  , 135.7     , SA
Z9280 , ChengDu         , 30.6628  , 104.0158  , 602.0     , SC
Z9290 , XiAn            , 34.4447  , 108.9728  , 460.0     , CB
Z9310 , HanDan          , 36.4626  , 114.6665  , 144       , SA
Z9311 , ShiJiaZhuang    , 38.3519  , 114.7119  , 134.8     , SA
Z9313 , ZhangJiaKou     , 41.1547  , 114.6939  , 1426.4    , CB
Z9314 , ChengDe         , 40.9758  , 117.9178  , 473.6     , CB
Z9317 , CangZhou        , 38.3058  , 116.8058  , 102.0     , SA
Z9335 , QinHuangDao     , 39.8808  , 118.8808  , 114.0     , SA
Z9351 , TaiYuan         , 37.7350  , 112.5789  , 817.0     , CC
Z9352 , DaTong          , 40.0719  , 113.3897  , 1096.3    , CB
Z9355 , ChangZhi        , 36.2239  , 113.0550  , 1027.8    , CC
Z9357 , LinFen          , 36.0619  , 111.4939  , 484.0     , CC
Z9358 , LvLiang         , 37.5183  , 111.1439  , 1000      , CA
Z9370 , ShangQiu        , 34.4072  , 115.6303  , 146.0     , SB
Z9371 , ZhengZhou       , 34.7044  , 113.6972  , 191.6     , SA
Z9377 , NanYang         , 33.0208  , 112.4928  , 146.0     , SB
Z9393 , PuYang          , 35.7969  , 114.9578  , 53.0      , SB
Z9396 , ZhuMaDian       , 33.0031  , 114.0247  , 179.0     , SB
Z9398 , SanMenXia       , 34.6789  , 111.1289  , 755.0     , SB
Z9411 , DaLian          , 38.9097  , 121.6489  , 209.0     , SA
Z9415 , DanDong         , 39.8758  , 124.1569  , 60.1      , SA
Z9417 , YingKou         , 40.6728  , 122.2719  , 62.5      , SA
Z9421 , ChaoYang        , 41.5328  , 120.5167  , 676.5     , CD
Z9431 , ChangChun       , 43.8989  , 125.2458  , 294.6     , CC
Z9433 , Yanji           , 42.8389  , 129.4600  , 546.0     , CC
Z9436 , BaiCheng        , 45.8147  , 122.8139  , 207.3     , CC
Z9437 , LiaoYuan        , 42.9006  , 125.1257  , 350.0     , CC
Z9438 , SongYuan        , 45.1347  , 124.8178  , 191.2     , CC
Z9439 , BaiShan         , 41.9689  , 126.1989  , 1186.5    , CC
Z9451 , HaErBin         , 45.7239  , 126.7278  , 215.0     , CA
Z9452 , QiQiHaEr        , 47.3669  , 123.9339  , 222.0     , CC
Z9453 , MuDanJiang      , 44.5908  , 129.6000  , 324       , CC
Z9454 , JiaMuSi         , 46.7958  , 130.3178  , 161.5     , CC
Z9455 , SuiHua          , 46.5908  , 126.9742  , 252       , CA
Z9456 , HeiHe           , 50.1797  , 127.3139  , 350.0     , CC
Z9457 , JiaGeDaQi       , 50.4078  , 124.1178  , 470       , CC
Z9458 , YiChun          , 47.70083 , 128.91527 , 653       , CC
Z9470 , HaiLaEr         , 49.2039  , 119.7528  , 676       , CD
Z9471 , HuHeHaoTe       , 40.9819  , 111.6997  , 2062      , CD
Z9474 , WuLanChaBu      , 41.0137  , 113.0847  , 1544      , CB	
Z9475 , TongLiao        , 43.6197  , 122.2608  , 265       , CB
Z9476 , ChiFeng         , 42.2328  , 118.9658  , 840       , CD
Z9477 , EErDuoSi        , 39.8169  , 110.0500  , 1557.6    , CB
Z9478 , LinHe           , 40.7350  , 107.3689  , 1115      , CD
Z9513 , NanTong         , 32.0758  , 120.9758  , 33.9      , SA
